Question,Option A,Option B,Option C,Option D,Correct Answer
"Which of the following is a primary function of cytotoxic (CD8+) T cells?","Produce antibodies to neutralise pathogens","Kill cells infected by intracellular pathogens or cancerous cells.","Present antigen to B cells via MHC class II","Suppress immune responses by producing IL-10","Kill cells infected by intracellular pathogens or cancerous cells."
"Which statement about MHC molecules is correct?","MHC class I presents lipid antigens to CD4+ T cells","MHC molecules present only peptide antigens and are recognised by TCRs","MHC class II is expressed on all nucleated cells including fibroblasts","TCR recognises free (unbound) antigen in the extracellular space","MHC molecules present only peptide antigens and are recognised by TCRs"
"During thymic development, a thymocyte that expresses both CD4 and CD8 is termed:","Single positive","Double negative","Double positive","Mature naïve T cell","Double positive"
"Which of the following correctly describes the purpose of positive selection in the thymus?","To eliminate thymocytes that bind self-peptide strongly","To retain thymocytes that can recognise self-MHC and thus survive.","To generate antibody-producing B cells","To induce expression of perforin and granzymes","To retain thymocytes that can recognise self-MHC and thus survive."
"Negative selection in the thymus primarily removes thymocytes that","Fail to rearrange TCR genes","Bind self-peptide with high affinity and are strongly autoreactive.","Do not express CD28 co-receptor","Cannot recognise foreign antigen","Bind self-peptide with high affinity and are strongly autoreactive."
"Which feature of the T cell receptor (TCR) is correct?","It is a soluble molecule secreted by T cells","It is composed of an α chain and β chain, each with a variable (V) and constant (C) region.","Its variable region is identical on all T cells","It recognises intact antigens without MHC presentation","It is composed of an α chain and β chain, each with a variable (V) and constant (C) region."
"VDJ recombination during T cell development produces receptor diversity by:","Horizontal gene transfer from APCs","Randomly combining V, (D), and J gene segments to generate ~10^14 different specificities.","Somatic hypermutation in peripheral tissues","Switching constant regions to change antigen specificity","Randomly combining V, (D), and J gene segments to generate ~10^14 different specificities."
"Activation of a naïve CD4+ T cell requires three signals. Which correctly pairs a signal with its description?","Signal 1 = B7 binding to CD28 on APC","Signal 2 = TCR recognition of peptide–MHC (antigen specific)","Signal 2 = Co-stimulation (B7 on APC binding CD28 on T cell).","Signal 3 = Perforin/granzyme release","Signal 2 = Co-stimulation (B7 on APC binding CD28 on T cell)."
"Which cytokine(s) promote differentiation towards a Th1 phenotype?","IL-4","IL-12 and IFN-γ","IL-23","IL-10","IL-12 and IFN-γ"
"What is the primary mechanism by which cytotoxic T lymphocytes (CTLs) kill target cells?","Neutralisation of pathogens with secreted antibodies","Release of perforin to form membrane pores and granzymes that activate apoptosis.","Secretion of IL-4 to recruit eosinophils","Presentation of antigen on MHC class II","Release of perforin to form membrane pores and granzymes that activate apoptosis."
"Which statement about clonal expansion is true?","Activated T cells decrease IL-2 production to limit growth","Expansion is minor — typically less than twofold","Activated T cells produce IL-2 and upregulate the high-affinity IL-2 receptor, causing a 1,000–10,000 fold increase in specific clones.","Memory T cells die immediately after infection clearance","Activated T cells produce IL-2 and upregulate the high-affinity IL-2 receptor, causing a 1,000–10,000 fold increase in specific clones."
"Homeostasis after antigen clearance involves all EXCEPT:","Apoptosis of ~90% of effector T cells","Decrease in antigen, CD28 and IL-2 signals","Activation of inhibitory pathways (e.g., CTLA-4 and PD-1)","Continued unchecked proliferation of effector T cells causing sustained expansion","Continued unchecked proliferation of effector T cells causing sustained expansion"
"Which clinical condition is characterised by thymic hypoplasia or absence and resultant poor T cell production?","X-linked severe combined immunodeficiency (SCID)","DiGeorge syndrome","Adenosine deaminase deficiency in adults","Multiple sclerosis","DiGeorge syndrome"
"Central tolerance differs from peripheral tolerance in that:","Central tolerance occurs in peripheral tissues and eliminates naïve T cells after activation","Peripheral tolerance occurs in the thymus and is the main mechanism of negative selection","Central tolerance occurs in the thymus and eliminates autoreactive T cells during development; peripheral tolerance eliminates self-reactive T cells that recognise antigens not expressed in thymus.","Both refer to B cell education only","Central tolerance occurs in the thymus and eliminates autoreactive T cells during development; peripheral tolerance eliminates self-reactive T cells that recognise antigens not expressed in thymus."
