"Question","Option A","Option B","Option C","Option D","Correct Answer"
"What is the mechanism of action of β-lactam antibiotics?","Inhibition of protein synthesis","Inhibition of DNA gyrase","Inhibition of cell wall synthesis by binding to transpeptidase","Inhibition of RNA polymerase","Inhibition of cell wall synthesis by binding to transpeptidase"
"Which bacteria are inherently resistant to β-lactam antibiotics?","Streptococci","Staphylococci","Mycoplasmas","E. coli","Mycoplasmas"
"What is the primary mechanism of methicillin resistance in Staphylococcus aureus?","Production of β-lactamase","Mutation in DNA gyrase","Expression of PBP 2a with low β-lactam affinity","Reduced permeability via porins","Expression of PBP 2a with low β-lactam affinity"
"Which class of antibiotics is bacteriostatic and targets the 50S ribosomal subunit?","Aminoglycosides","Macrolides","Tetracyclines","Fluoroquinolones","Macrolides"
"Which antibiotic is effective against MRSA and functions as a glycopeptide?","Vancomycin","Ampicillin","Ciprofloxacin","Linezolid","Vancomycin"
"What is the mechanism of resistance in vancomycin-resistant Enterococci (VRE)?","Alteration of D-ala-D-ala to D-ala-lactate","Mutation in DNA gyrase","Expression of PBP 2a","Efflux pumps specific for aminoglycosides","Alteration of D-ala-D-ala to D-ala-lactate"
"Which aminoglycoside toxicity can be permanent?","Nephrotoxicity","Ototoxicity","Hepatotoxicity","Cardiotoxicity","Ototoxicity"
"Which antibiotic binds to bacterial membranes causing depolarization leading to protein synthesis inhibition?","Daptomycin","Vancomycin","Erythromycin","Ciprofloxacin","Daptomycin"
"Which fluoroquinolone mechanism is targeted at DNA supercoiling?","Inhibition of RNA polymerase","Inhibition of transpeptidase","Inhibition of DNA gyrase and topoisomerase IV","Disruption of 30S ribosomal subunit","Inhibition of DNA gyrase and topoisomerase IV"
"What is the main action of rifampin in tuberculosis therapy?","Inhibits DNA gyrase","Inhibits RNA polymerase","Inhibits protein synthesis","Disrupts cell membrane depolarization","Inhibits RNA polymerase"
"Which β-lactamase inhibitor is used in combination with amoxicillin?","Tazobactam","Clavulanate","Sulbactam","Vancomycin","Clavulanate"
"Which class of antibiotics causes yellow-brown staining of growing teeth?","Tetracyclines","Macrolides","Aminoglycosides","Oxazolidinones","Tetracyclines"
"What is the key difference in ribosome structure between prokaryotes and eukaryotes?","Prokaryotes have 80S ribosomes; eukaryotes 70S","Prokaryotes have 70S ribosomes; eukaryotes 80S","Both have 70S ribosomes","Both have 80S ribosomes","Prokaryotes have 70S ribosomes; eukaryotes 80S"
"Which generation of cephalosporins has improved Gram-positive activity compared to earlier generations?","1st generation","2nd generation","3rd generation","4th generation","4th generation"
"Which antibiotic is orally active, broad-spectrum, and requires only once-a-day dosing?","Azithromycin","Erythromycin","Vancomycin","Cefazolin","Azithromycin"
