Question,Option A,Option B,Option C,Option D,Correct Answer
"Which pattern recognition receptor (PRR) is correctly matched with the viral component it recognises?","TLR4 — viral RNA","RIG-I — cytoplasmic RNA receptors","TLR3 — viral capsid proteins","TLR2/6 — cytoplasmic RNA receptors","RIG-I — cytoplasmic RNA receptors"
"Type I interferons (IFN-α/β) primarily contribute to antiviral defence by:","Directly producing antibodies","Inducing an antiviral state shutting down infected and neighbouring cells","Presenting antigen on MHC class II","Blocking NK cell activation","Inducing an antiviral state shutting down infected and neighbouring cells"
"Which effect of Type I interferons on immune cells is listed?","Suppression of MHC class I expression","Activation of dendritic cells and macrophages","Direct neutralisation of viruses","Differentiation of B cells into neutrophils","Activation of dendritic cells and macrophages"
"Natural Killer (NK) cells recognise and kill virally infected cells because:","They express antigen-specific receptors","They detect downregulation of MHC class I","They kill only cells with high MHC class I","They require antibodies to kill","They detect downregulation of MHC class I"
"Which statement about NK cell receptors is correct?","Activatory receptors bind MHC I and inhibit NK cells","Inhibitory receptors bind MHC I and prevent activation","NK cells lack inhibitory receptors","Presence of MHC I always activates NK cells","Inhibitory receptors bind MHC I and prevent activation"
"NK cells kill infected cells using mechanisms that are:","Completely different from CTLs","The same as CTLs — perforin and granzyme","Dependent only on ADCC","Based on complement activation","The same as CTLs — perforin and granzyme"
"Which is a role of antibodies in antiviral immunity?","Insignificant in all antiviral contexts","Generated against viral coat proteins, halting infection/spread","Directly activate MHC I","Replace CTLs entirely","Generated against viral coat proteins, halting infection/spread"
"A CTL recognises and kills a virally infected cell when:","Antigen is on MHC II","Antigen is on MHC I","MHC is completely absent","Antibody is produced by the cell","Antigen is on MHC I"
"Which viral evasion strategy increases NK targeting?","Increasing MHC I","Down-regulating MHC I","Causing antigenic shift","Increasing IFN production","Down-regulating MHC I"
"Viruses that interfere with antigen processing listed in slides include:","Influenza and HIV","EBV and HSV","SARS-CoV-2 and CMV","RIG-I and TLR3","EBV and HSV"
"Why is a flu vaccine needed yearly?","Influenza causes MHC downregulation","Antigenic drift changes surface antigens","Flu cannot induce antibodies","IFNs do not work on flu","Antigenic drift changes surface antigens"
"Difference between antigenic drift and shift:","Drift = recombination, shift = point mutations","Drift = point mutations, shift = major recombination","Both refer to MHC downregulation","Drift affects NK cells, shift affects B cells","Drift = point mutations, shift = major recombination"
