"Question","Option A","Option B","Option C","Option D","Correct Answer"
"What percentage of the population died during the Plague of Athens (430 BC)?","10%","25%","50%","75%","25%"
"Which plague had the highest mortality rate in its pneumonic form?","Bubonic plague","Septicemic plague","Pneumonic plague","Black Death","Pneumonic plague"
"What bacterium is responsible for causing the plague?","Bacillus anthracis","Yersinia pestis","Francisella tularensis","Staphylococcus aureus","Yersinia pestis"
"Which historical prevention method was used during the Great Plague of 1665?","Vaccination","Combating odours","Antibiotics","Quarantine only","Combating odours"
"Which Nobel laureate developed the 'magic bullet' theory and discovered arsphenamine for syphilis treatment?","Louis Pasteur","Robert Koch","Alexander Fleming","Paul Ehrlich","Paul Ehrlich"
"What is the main structural difference between Gram-positive and Gram-negative bacteria?","Gram-positive have lipopolysaccharide membrane; Gram-negative have thick peptidoglycan","Gram-positive have thick peptidoglycan wall; Gram-negative have outer lipopolysaccharide membrane","Gram-positive have RNA; Gram-negative have DNA","Gram-positive divide faster; Gram-negative divide slower","Gram-positive have thick peptidoglycan wall; Gram-negative have outer lipopolysaccharide membrane"
"Which process allows bacteria to survive high osmotic pressure without bursting?","Transpeptidase cross-linking in cell wall","Fusion and penetration","Replication inside host cell","Use of xenobiotic pumps","Transpeptidase cross-linking in cell wall"
"Which virus type contains single-stranded positive-sense RNA?","Picornaviruses","Herpesviruses","Reoviruses","Hepadnaviruses","Picornaviruses"
"Which of the following is NOT a stage in viral infection?","Binding","Autolysin activity","Uncoating","Budding and release","Autolysin activity"
"What are the four main mechanisms of antibiotic resistance?","Mutation, vaccination, reduced permeability, autolysins","Degrading enzymes, mutations in target, reduced permeability, xenobiotic pumps","Transpeptidases, ribosome modification, fusion, budding","Binding, fusion, replication, assembly","Degrading enzymes, mutations in target, reduced permeability, xenobiotic pumps"
"Who discovered penicillin and in what year?","Howard Florey, 1939","Ernst Chain, 1940","Alexander Fleming, 1928","Louis Pasteur, 1861","Alexander Fleming, 1928"
"Which pandemic caused approximately 25-50 million deaths in 1918?","Spanish Flu","Black Death","Antonine Plague","Plague of Justinian","Spanish Flu"
"Which bacterial structure allows antibiotics to enter Gram-negative cells through aqueous channels?","Transpeptidase","Porins","Peptidoglycan","NAG-NAM chains","Porins"
"What factor likely contributed to the Black Death pandemic spreading widely in Europe?","Presence of rats only","Pneumonic strain of Y. pestis and malnourished population","High vaccination rates","Use of Eau-de-Cologne","Pneumonic strain of Y. pestis and malnourished population"
"Which infectious agent class does Trypanosoma brucei belong to?","Bacteria","Parasites","Viruses","Fungi","Parasites"
