Question,Option A,Option B,Option C,Option D,Correct Answer
"Which of the following best describes an extracellular pathogen?","A pathogen that must enter the nucleus to replicate","A pathogen that lives and multiplies outside of host cells.","A pathogen that prevents phagosome-lysosome fusion.","A viral pathogen only.","A pathogen that lives and multiplies outside of host cells."
"Which organism from the slide list is an example of a truly intracellular pathogen?","Staphylococcus aureus","Haemophilus influenzae","Mycobacterium tuberculosis","Viruses (general).","Viruses (general)."
"Which immune mechanisms are emphasized as effective against extracellular bacteria?","Cytotoxic T lymphocytes and MHC I presentation","Inflammation, complement, neutrophils, and antibody effector mechanisms.","Activation of nitric oxide synthase only","IgE-mediated mast cell degranulation only","Inflammation, complement, neutrophils, and antibody effector mechanisms."
"For intracellular bacteria, which arm of adaptive immunity is particularly important during the intracellular phase?","Secreted IgA from plasma cells","Complement activation via classical pathway","Cytotoxic T cells activated via MHC I presentation.","Eosinophil-mediated antibody-dependent cellular cytotoxicity","Cytotoxic T cells activated via MHC I presentation."
"Which pattern-recognition receptor locations and examples are correctly matched?","Cytosolic sensors — C-type lectin receptors","Endosome — RNA/DNA sensing TLRs (viral detection).","Cell surface — RNA/DNA sensing TLRs","Endosome — TLR-4 detects LPS","Endosome — RNA/DNA sensing TLRs (viral detection)."
"According to the slides, which cytokine(s) do APCs produce that help drive a Th1 response?","IL-4 and TSLP","IL-12 (and IL-1/TNF as supportive).","IL-23 only","IL-17 and IL-22","IL-12 (and IL-1/TNF as supportive)."
"Which statement about IFN-γ is consistent with the slide content?","IFN-γ is primarily produced by Th17 cells to recruit neutrophils","IFN-γ activates macrophages and increases MHC and co-stimulatory molecule expression.","IFN-γ inhibits macrophage microbicidal activity","IFN-γ drives IgE production by B cells","IFN-γ activates macrophages and increases MHC and co-stimulatory molecule expression."
"The slides contrast outcomes in Mycobacterium leprae (leprosy). Which cytokine pattern corresponds to the less severe (tuberculoid) form?","High Th2 cytokines, low Th1 cytokines","High Th17 cytokines, low Th1 cytokines","High Th1 cytokines, low Th2 cytokines.","High Treg cytokines only","High Th1 cytokines, low Th2 cytokines."
"Which set of cytokines from APCs is most associated with Th17 differentiation?","IL-4 and TSLP","IL-12 and IFN-α/β","IL-1 and IL-23 (plus IL-6 in some slides).","TGF-β and IL-10 only","IL-1 and IL-23 (plus IL-6 in some slides)."
"Which clinical/physiological role of Th2 cells is explicitly described on the slides?","Activation of macrophage ROS production to kill intracellular bacteria","Driving IgE production, mast cell activation and parasite (helminth) expulsion.","Promoting cytotoxic T cell killing via MHC I upregulation","Inducing neutrophilic mucosal responses via IL-17","Driving IgE production, mast cell activation and parasite (helminth) expulsion."
"According to the slides, why do antibodies have little effect against some intracellular bacteria such as Mycobacterium tuberculosis?","Antibodies cannot activate complement","Intracellular bacteria replicate inside host cells (phagosomes) where antibodies can’t reach.","Antibodies are degraded by bacterial exotoxins only","Antibodies actively enhance bacterial growth","Intracellular bacteria replicate inside host cells (phagosomes) where antibodies can’t reach."
"What is the primary role of T regulatory (Treg) cells as presented in the slides?","Promote Th17 differentiation by secreting IL-23","Suppress autoreactive T cells and secrete inhibitory cytokines like TGF-β.","Directly kill infected epithelial cells via perforin/granzyme","Produce IL-4 to drive IgE class switching","Suppress autoreactive T cells and secrete inhibitory cytokines like TGF-β."
