"Question","Option A","Option B","Option C","Option D","Correct Answer"
"What is the primary function of B cells in the immune system?","Produce cytokines","Present antigens","Produce antibodies","Kill infected cells","Produce antibodies"
"Which cytokines are considered inhibitory in the immune system?","IL-1, IL-2, TNF","IL-4, IL-10, IL-13","IFN-γ, IL-12, TNF","IL-6, IL-8, IL-17","IL-4, IL-10, IL-13"
"Autoimmune disease occurs due to:","Excess production of antibodies to pathogens","Failure to recognize self-antigens","Overproduction of red blood cells","Excessive complement activation","Failure to recognize self-antigens"
"Which autoimmune disease involves antibodies targeting nicotinic acetylcholine receptors?","Rheumatoid arthritis","Graves disease","Myasthenia gravis","Hashimoto’s thyroiditis","Myasthenia gravis"
"Which organ transplantation issue is caused by donor lymphocytes attacking recipient tissue?","Hyperacute rejection","Chronic rejection","Graft-versus-host reaction","Delayed xenograft rejection","Graft-versus-host reaction"
"What is the mechanism of action of cyclophosphamide?","Inhibits dihydrofolate reductase","Cross-links DNA after liver metabolism","Blocks inosine monophosphate dehydrogenase","Inhibits topoisomerase II","Cross-links DNA after liver metabolism"
"Methotrexate reduces inflammation in rheumatoid arthritis by:","Inhibiting DNA polymerase","Increasing adenosine levels","Blocking TNF receptors","Suppressing NK cells","Increasing adenosine levels"
"Which drug inhibits inosine monophosphate dehydrogenase (IMPDH) in lymphocytes?","Azathioprine","Mycophenolate mofetil","Cladribine","Methotrexate","Mycophenolate mofetil"
"Which cell type is responsible for presenting antigens to T cells?","Regulatory T cells","Effector T cells","Dendritic cells","B cells","Dendritic cells"
"One strategy to prevent immune cell activation involves:","Enhancing co-stimulation","Inhibiting pro-inflammatory cytokines","Increasing Th1 responses","Stimulating cytokine production","Inhibiting pro-inflammatory cytokines"
"Which autoimmune disease is associated with antibodies against DNA histone complexes?","Rheumatoid arthritis","Myasthenia gravis","Lupus erythematosus","Psoriasis","Lupus erythematosus"
"Long-term rejection in xenotransplantation is primarily mediated by:","Complement activation","T cells","NK cells","B cells","T cells"
"Leflunomide acts by:","Inhibiting DNA intercalation","Blocking dihydroorotate dehydrogenase","Inhibiting topoisomerase II","Increasing adenosine","Blocking dihydroorotate dehydrogenase"
"Which statement about organ donation ethics is correct according to the Declaration of Istanbul?","Organ donation should generate profit","Trafficking in human organs is prohibited","Recipients should pay more than donors","All organ donors must be animals","Trafficking in human organs is prohibited"
"Mitoxantrone is used in multiple sclerosis because it:","Stimulates T cells","Intercalates DNA and inhibits topoisomerase II","Increases B-cell antibody production","Blocks purine synthesis","Intercalates DNA and inhibits topoisomerase II"
