"Question","Option A","Option B","Option C","Option D","Correct Answer"
"What is the primary action of antiviral agents?","Virucidal, completely eliminating viruses","Virustatic, inhibiting viral replication","Enhancing immune response only","Neutralizing viral toxins","Virustatic, inhibiting viral replication"
"Which stage of the viral life cycle do amantadine and rimantadine inhibit?","Translation","Uncoating","Budding & release","Replication","Uncoating"
"What viral protein is targeted by amantadine in influenza A?","Hemagglutinin","M2 proton channel","Neuraminidase","NS1 protein","M2 proton channel"
"Why are neuraminidase inhibitors effective against influenza A and B?","They prevent viral entry","They block viral transcription","They inhibit viral release from cells","They stimulate immune memory","They inhibit viral release from cells"
"Which interferons induce a state of resistance to viral infection?","IFNγ only","IFNα and IFNβ","IFNα, IFNβ, and IFNγ equally","IFNτ only","IFNα and IFNβ"
"How do nucleoside reverse transcriptase inhibitors (NRTIs) act against HIV?","Non-competitive inhibition of RT","Competitive inhibition of RT after phosphorylation","Inhibition of viral protease","Blocking viral entry into cells","Competitive inhibition of RT after phosphorylation"
"Which adverse effect is associated with zidovudine (AZT)?","Pancreatitis","Neuropathy","Myopathy","Hepatotoxicity","Myopathy"
"Which HIV drug class directly prevents cleavage of polyproteins into functional viral proteins?","NRTIs","NNRTIs","Protease inhibitors","Integrase inhibitors","Protease inhibitors"
"Which HIV co-receptor is targeted by maraviroc?","CXCR4","CD4","CCR5","CCR2","CCR5"
"What is the mechanism of action of enfuvirtide?","Inhibits reverse transcriptase","Blocks fusion of HIV to CD4+ cells","Inhibits integrase","Prevents gp120 synthesis","Blocks fusion of HIV to CD4+ cells"
"Which interferon-stimulated gene system degrades viral dsRNA?","Mx GTPase system","2-5A oligosynthetase/RNase L system","Protein kinase R (PKR)","JAK/STAT pathway","2-5A oligosynthetase/RNase L system"
"Which HIV integrase inhibitor is approved for pre-exposure prophylaxis as a depot injection?","Raltegravir","Dolutegravir","Elvitegravir","Cabotegravir","Cabotegravir"
"What is the effect of combining PI + 2 NRTIs in HIV therapy?","Cures HIV infection","Reduces likelihood of viral resistance","Eliminates CD4+ T-cells","Prevents IRIS","Reduces likelihood of viral resistance"
"Which drug is a small molecule targeting the HIV capsid (CA) protein?","Lenacapavir","Ibalizumab","Fostemsavir","Maraviroc","Lenacapavir"
"Which statement best describes functional HIV cure?","Virus-free with no detectable HIV","Medication-free with low levels of virus due to reservoir control","Complete eradication by antivirals","Vaccination-induced immunity","Medication-free with low levels of virus due to reservoir control"
