Question,Option A,Option B,Option C,Option D,Correct Answer
"Which statement best describes a B cell receptor (BCR)?","A membrane-bound TCR that recognises antigen only when presented on MHC","A membrane-bound immunoglobulin (IgM) composed of two heavy and two light chains","A secreted antibody that circulates in mucosal surfaces","A receptor composed only of light chains that recognises peptides on MHC II","A membrane-bound immunoglobulin (IgM) composed of two heavy and two light chains"
"VDJ recombination during B cell development results in approximately how many different BCR combinations?","10^3","10^6","10^9","10^11","10^11"
"Which chromosomes encode the heavy and light chain loci for BCR gene rearrangement?","Heavy = chr 14; Light κ = chr 2; Light λ = chr 22","Heavy = chr 2; Light κ = chr 14; Light λ = chr 22","Heavy = chr 22; Light κ = chr 14; Light λ = chr 2","Heavy = chr 14; Light κ = chr 22; Light λ = chr 2","Heavy = chr 14; Light κ = chr 2; Light λ = chr 22"
"Which of the following is TRUE about how B cells recognise antigen compared with T cells?","Both B and T cells recognise free antigen in any form without MHC","B cells can recognise antigen in any biological form, whereas T cells require antigen presentation on MHC","B cells only recognise peptides on MHC II, while T cells recognise surface carbohydrates","Both require antigen to be presented on MHC I","B cells can recognise antigen in any biological form, whereas T cells require antigen presentation on MHC"
"Which event is sufficient by itself to generate low levels of IgM without T cell help?","Isotype switching","T-independent antigen recognition by BCR","CD40-CD40L interaction","Affinity maturation in germinal centres","T-independent antigen recognition by BCR"
"Which pair of molecules/interactions is required to induce isotype switching?","BCR binding to antigen alone","CD40–CD40L interaction and cytokines from T helper cells","Complement activation and Fc receptor binding","C1q binding and MAC formation","CD40–CD40L interaction and cytokines from T helper cells"
"Affinity maturation primarily involves which mechanism?","Permanent change of the antibody constant region","Random mutations in the variable antigen-binding region producing higher-affinity antibodies on repeat exposure","Switching from IgM to IgG to increase affinity automatically","Complement-driven selection of pentameric antibodies","Random mutations in the variable antigen-binding region producing higher-affinity antibodies on repeat exposure"
"Which antibody effector function requires only the antigen-binding (Fab) region?","Complement activation","Antibody-dependent cellular cytotoxicity (ADCC)","Pathogen neutralisation of microbes and toxins","Opsonisation for phagocytosis","Pathogen neutralisation of microbes and toxins"
"Which antibody class is the most abundant, can cross the placenta, and is involved in all antibody functions?","IgA","IgM","IgE","IgG","IgG"
"Which antibody class is secreted at mucosal surfaces and acquired via colostrum and milk?","IgG","IgA","IgM","IgD","IgA"
"Which effector mechanism involves NK cells recognising antibody-coated target cells via FcγRIII?","Opsonisation","Complement classical pathway activation","Antibody-dependent cellular cytotoxicity (ADCC)","Eosinophil-mediated helminth killing","Antibody-dependent cellular cytotoxicity (ADCC)"
"Which antibody class and cellular interaction are implicated in helminth expulsion and degranulation of mast cells/eosinophils?","IgG binding macrophage Fcγ receptors","IgM activating complement","IgE binding Fcε receptors on mast cells and eosinophils","IgA neutralising toxins at mucosal surfaces","IgE binding Fcε receptors on mast cells and eosinophils"
